player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
Smush Parker,LAC,27.0,193.04,86.18248,Fordham,USA,Undrafted,Undrafted,Undrafted,28,5.9,1.8,3.0,-8.7,0.008,0.088,0.187,0.42,0.249,2007-08,2007,Guard (proxy),11.1,2.5,2.8,0.526,0.183,-2.5,-5.199999999999999,-0.106,,,,,0
Solomon Alabi,TOR,24.0,215.9,114.305184,Florida State,Nigeria,2010,2,50,14,2.4,3.4,0.2,1.7,0.149,0.25,0.1689999999999999,0.418,0.0409999999999999,2011-12,2011,Big (proxy),0.5,1.2,0.2,0.1889999999999999,0.138,-18.0,1.9,0.2290000000000001,,,,,0
Solomon Hill,ATL,31.0,198.12,102.511792,Arizona,USA,2013,1,23,13,0.6,1.8,0.9,14.3,0.043,0.115,0.064,0.2,0.1169999999999999,2021-22,2021,Wing (proxy),4.5,3.0,1.1,0.498,0.102,1.0,-3.9,-0.298,,,,,0
Solomon Jones,ORL,29.0,208.28,106.59412,South Florida,USA,2006,2,33,11,1.3,1.5,0.2,-11.4,0.107,0.118,0.1119999999999999,0.373,0.039,2013-14,2013,Big (proxy),3.2,2.8,0.4,0.471,0.138,-22.4,-1.9,-0.0979999999999999,,,,,0
Sonny Weems,PHX,29.0,198.12,92.98636,Arkansas,USA,2008,2,39,43,2.5,1.2,1.1,-10.7,0.0139999999999999,0.109,0.132,0.4589999999999999,0.148,2015-16,2015,Wing (proxy),9.2,2.6,1.8,0.492,0.2019999999999999,-10.5,-6.699999999999999,-0.033,,,,,0
Soumaila Samake,LAL,25.0,208.28,108.86208,,Mali,2000,2,36,13,1.7,1.8,0.3,-10.0,0.143,0.203,0.15,0.442,0.087,2002-03,2002,Big (proxy),1.4,1.6,0.0,0.3929999999999999,0.123,-9.0,0.3,0.0490000000000001,,,,,0
Speedy Claxton,ATL,29.0,180.34,77.11064,Hofstra,USA,2000,1,20,42,5.3,1.9,4.4,-5.8,0.013,0.081,0.166,0.363,0.291,2006-07,2006,Guard (proxy),12.3,2.7,4.8,0.497,0.238,0.1,-7.000000000000001,-0.134,,,,,0
Spencer Dinwiddie,BKN,30.0,195.58,97.52228,Colorado,USA,2014,2,38,79,17.3,3.4,6.5,-0.1,0.01,0.092,0.22,0.573,0.297,2022-23,2022,Wing (proxy),13.7,4.2,5.2,0.5429999999999999,0.208,-1.0,3.6000000000000014,0.03,,,,,0
Spencer Hawes,MIL,29.0,215.9,111.13004,Washington,USA,2007,1,10,54,6.2,3.5,1.5,-10.2,0.052,0.215,0.1969999999999999,0.562,0.174,2016-17,2016,Big (proxy),6.0,4.3,1.9,0.508,0.171,2.1,0.2000000000000001,0.054,,,,,0
Stacey Augmon,ORL,37.0,203.2,96.615096,Nevada-Las Vegas,USA,1991,1,9,36,2.0,1.5,0.6,8.0,0.0579999999999999,0.11,0.12,0.412,0.092,2005-06,2005,Wing (proxy),3.5,1.8,0.7,0.48,0.153,-5.0,-1.5,-0.068,,,,,0
Stacey King,DAL,30.0,210.82,113.398,Oklahoma,USA,1989,1,6,11,2.2,2.5,0.1,-18.7,0.1119999999999999,0.2319999999999999,0.135,0.478,0.018,1996-97,1996,Big (proxy),,,,,,,,,,,,,0
Stanley Johnson,SAS,27.0,198.12,109.769264,Arizona,USA,2015,1,8,30,5.8,3.2,2.2,-7.0,0.047,0.15,0.148,0.625,0.179,2022-23,2022,Wing (proxy),6.7,3.2,1.7,0.564,0.125,-1.1,-0.9000000000000004,0.061,,,,,0
Stanley Roberts,MIN,28.0,213.36,131.54168,Louisiana State,USA,1991,1,23,74,6.2,4.9,0.4,-0.3,0.092,0.212,0.177,0.503,0.032,1997-98,1997,Big (proxy),9.5,5.1,0.5,0.485,0.238,2.6,-3.3,0.018,,,,,0
Stephane Lasme,MIA,25.0,203.2,97.52228,Massachusetts,Gabon,2007,2,46,16,5.2,3.3,0.2,-6.4,0.1,0.099,0.166,0.488,0.02,2007-08,2007,Wing (proxy),,,,,,,,,,,,,0
Stephen Curry,GSW,35.0,187.96,83.91452,Davidson,USA,2009,1,7,56,29.4,6.1,6.3,5.8,0.02,0.147,0.297,0.6559999999999999,0.2739999999999999,2022-23,2022,Guard (proxy),25.5,5.2,6.3,0.601,0.293,10.7,3.899999999999999,0.0549999999999999,,,,,0
Stephen Graham,NJN,29.0,198.12,97.52228,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,59,3.4,2.1,0.7,-13.0,0.021,0.134,0.126,0.457,0.066,2010-11,2010,Wing (proxy),4.2,1.9,0.3,0.551,0.174,-1.1,-0.8000000000000003,-0.094,,,,,0
Stephen Howard,SEA,27.0,205.74,102.0582,DePaul,USA,Undrafted,Undrafted,Undrafted,13,1.9,0.9,0.2,-16.2,0.115,0.113,0.248,0.432,0.094,1997-98,1997,Big (proxy),3.6,1.7,0.2,0.613,0.187,0.1,-1.7000000000000002,-0.181,,,,,0
Stephen Jackson,SAS,35.0,203.2,99.79024,Butler Community College,USA,1997,2,42,55,6.2,2.8,1.5,4.4,0.025,0.138,0.188,0.473,0.11,2012-13,2012,Wing (proxy),9.8,3.5,2.5,0.485,0.215,2.0,-3.6000000000000005,-0.012,,,,,0
Stephen Zimmerman,ORL,20.0,213.36,108.86208,Nevada-Las Vegas,USA,2016,2,41,19,1.2,1.8,0.2,-18.1,0.093,0.273,0.149,0.346,0.0559999999999999,2016-17,2016,Big (proxy),,,,,,,,,,,,,0
Stephon Marbury,BOS,32.0,187.96,92.98636,Georgia Tech,USA,1996,1,4,23,3.8,1.2,3.3,-3.2,0.006,0.07,0.176,0.377,0.2739999999999999,2008-09,2008,Guard (proxy),13.9,2.5,4.7,0.527,0.201,-11.4,-10.1,-0.15,,,,,0
